line_number,username,platform,creator_type,followers,follower_tier,rate_card_idr,rate_card_raw,is_barter
150,kurkurfamily3_,tiktok,cat,72600,micro,250000,"Rp250,000",False
151,aren.gentong,tiktok,cat,3565,nano,150000,BARTER,True
152,obethecutecat,instagram,cat,1726,nano,150000,BARTER,True
153,nita.yulianita,instagram,cat,40700,micro,150000,BARTER,True
154,sasaandthegank,instagram,cat,2146,nano,150000,BARTER,True
155,cocothecorgiboy,tiktok,dog_medium_breed,4733,nano,150000,BARTER,True
156,milo.the.naughty,tiktok,dog_medium_breed,1132,nano,150000,BARTER,True
157,dexterthepoodle,tiktok,dog_small_breed,1011,nano,150000,BARTER,True
158,callmeipina,tiktok,dog_small_breed,1447,nano,150000,BARTER,True
159,naurajeng,tiktok,cat,2207,nano,1000000,"Rp1,000,000",False
160,diaryofcns,tiktok,cat,4537,nano,150000,BARTER,True
161,yelow9497,tiktok,cat,2489,nano,150000,BARTER,True
162,olympus_cat,tiktok,cat,26400,micro,150000,BARTER,True
163,bob.thebritish,tiktok,cat,3618,nano,150000,BARTER,True
164,vanesha-margaretta,instagram,dog_medium_breed,64700,micro,1500000,"Rp1,500,000",False
165,nalamangocat,tiktok,cat,7069,nano,150000,BARTER,True
166,uunyeh.cat,tiktok,cat,52800,micro,150000,BARTER,True
167,dedutttt__,tiktok,cat,4640,nano,150000,BARTER,True
168,bukan.koko.melon,tiktok,dog_small_breed,1033,nano,150000,BARTER,True
169,cctvnyur,tiktok,cat,4563,nano,700000,"Rp700,000",False
170,"miyu_the,jaer",tiktok,cat,5271,nano,150000,BARTER,True
171,"miyu_the,jaer",instagram,cat,5271,nano,150000,BARTER,True
172,ciya618,tiktok,cat,7862,nano,150000,BARTER,True
173,fellymiaw,tiktok,cat,23500,micro,150000,BARTER,True
174,dailymbul,tiktok,cat,112000,macro,1000000,"Rp1,000,000",False
175,pawdel.co,tiktok,dog_small_breed,1022,nano,150000,BARTER,True
176,keluarga.miung,tiktok,dog_small_breed,13600,micro,150000,BARTER,True
177,one62_,tiktok,dog_small_breed,8477,nano,450000,"Rp450,000",False
178,anyadenaya,tiktok,cat,330,nano,150000,BARTER,True
179,anitafedora_,tiktok,cat,1498,nano,150000,BARTER,True
180,kundangfamily,tiktok,cat,65000,micro,1500000,"Rp1,500,000",False
181,tinylunabell,tiktok,dog_small_breed,1906,nano,150000,BARTER,True
182,waahyuji,tiktok,cat,1845,nano,150000,BARTER,True
183,Apinus,instagram,cat,42600,micro,200000,"Rp200,000",False
184,mimikucing,instagram,cat,17000,micro,500000,"Rp500,000",False
185,anggun09301,tiktok,dog_large_breed,8782,nano,150000,BARTER,True
187,hiakuolip,tiktok,cat,54200,micro,2000000,"Rp2,000,000",False
188,nyamandomah,instagram,cat,13900,micro,600000,"Rp600,000",False
189,kucingbatakofficial,instagram,cat,14300,micro,925000,"Rp925,000",False
190,feleciagabrielaa,instagram,cat,37600,micro,850000,"Rp850,000",False
191,annissaisyaharaa,instagram,cat,141000,macro,1700000,"Rp1,700,000",False
192,brunowell_cs,instagram,cat,20900,micro,500000,"Rp500,000",False
193,galakucing,instagram,cat,48700,micro,900000,"Rp900,000",False
194,aangblackcat,instagram,cat,55800,micro,750000,"Rp750,000",False
195,pockyholy,instagram,cat,16800,micro,800000,"Rp800,000",False
196,mokmokfamily,instagram,cat,11800,micro,600000,"Rp600,000",False
197,mbuspotato,instagram,cat,42300,micro,4500000,"Rp4,500,000",False
198,erickwiththepack,instagram,dog_small_breed,11200,micro,1000000,"Rp1,000,000",False
199,altaromeow,instagram,dog_large_breed,32100,micro,1000000,"Rp1,000,000",False
200,gopalpomeranian,instagram,cat,36900,micro,350000,"Rp350,000",False
207,geminithegoldie,instagram,dog_large_breed,4920,nano,70000,"Rp70,000",False
208,cikukucing,instagram,cat,5125,nano,700000,"Rp700,000",False
209,egiazhary23,instagram,cat,34000,micro,500000,"Rp500,000",False
210,dalloscar,tiktok,dog_large_breed,39300,micro,5000000,"Rp5,000,000",False
211,bellamollystory,instagram,cat,114000,macro,300000,"Rp300,000",False
212,heysmooch,tiktok,cat,58400,micro,5000000,"Rp5,000,000",False
213,mamafluffbottom,tiktok,dog_small_breed,11800,micro,750000,"Rp750,000",False
214,levina_zeligia,tiktok,dog_small_breed,311900,macro,500000,"Rp500,000",False
215,chimmytokio,tiktok,dog_small_breed,15900,micro,400000,"Rp400,000",False
216,chihuahua.cimol,tiktok,dog_small_breed,40700,micro,300000,"Rp300,000",False
217,hansharahetta,tiktok,dog_small_breed,117500,macro,550000,"Rp550,000",False
218,celineysphn,tiktok,dog_small_breed,422100,macro,600000,"Rp600,000",False
219,momo.thegolden,tiktok,dog_small_breed,72100,micro,450000,"Rp450,000",False
221,cabrotttt,tiktok,cat,187000,macro,1200000,"Rp1,200,000",False
222,kiwibritishcat,tiktok,cat,362200,macro,2200000,"Rp2,200,000",False
223,vncpawfam,tiktok,cat,23900,micro,600000,"Rp600,000",False
224,mutcy22,tiktok,cat,43500,micro,300000,"Rp300,000",False
225,rn.ban,tiktok,cat,92700,micro,2500000,"Rp2,500,000",False
226,ruddy_handjojo,tiktok,dog_large_breed,144700,macro,2000000,"Rp2,000,000",False
227,j_th0mps0n,instagram,cat,10800,micro,150000,BARTER,True
228,Pennyandchiro.poodlesgang,instagram,dog_small_breed,5380,nano,150000,BARTER,True
232,emikokai.shiba,instagram,dog_medium_breed,17200,micro,500000,"Rp500,000",False
233,rachelvennya,instagram,cat,7700000,mega,100000000,"Rp100,000,000",False
234,solehthecat,instagram,cat,39000,micro,1250000,"Rp1,250,000",False
