NO,username,Jenis Kreator,Platform,Followers,Rate Card
156,nonaabon,Dog Small Breed,Tiktok,"13,900","Rp400,000"
157,ardiwibowo_bowok,Dog Medium Breed,Tiktok,"176,000","Rp1,000,000"
158,snowyretriever,Dog Medium Breed,Tiktok,"205,200","Rp700,000"
159, flokiandtheaclan,Dog Medium Breed,Tiktok,"2,000,000","Rp6,000,000"
160,browniethepom_,Dog Small Breed,Tiktok,"152,900","Rp1,500,000"
161,chipasfamily,Dog Small Breed,Tiktok,"125,900","Rp 750,000"
162,celineysphn,Dog Small Breed,Tiktok,,
163,gianthouse.id,Dog Medium Breed,Tiktok,"21,800","Rp 500,000"
164,clowyowi,Dog Small Breed,Tiktok,"9,972",Rp 500.000
165,woofstation.kennelbdg,Dog Medium Breed,Tiktok,"8,152",Rp0
166,hi.milomuffin,Dog Medium Breed,Tiktok,"240,600","Rp1,500,000"
167,angelasisil,Dog Medium Breed,Tiktok,"19,900",
168,pinatfrenchie,Dog Small Breed,Tiktok,"66,700",
169,jody.setiawan.100,Dog Small Breed,Tiktok,"59,600","Rp1,000,000"
170,cassie.bule,Dog Medium Breed,Tiktok,,Rp0
171,erinasuhersasi,Dog Medium Breed,Tiktok,,"Rp900,000"
172,Brexycayangpapa,Dog Medium Breed,Tiktok,,Rp0
173,Koko Guguk,Dog Medium Breed,Tiktok,"1,700,000","Rp21,000,000"
